Doc_ID,Reviews for Oscar Wining Movie Joker,Sentiment
32,phoenix convinces always meant joker movie went beyond expectations many emotions went couple hours think rated r phoenix able unlock jokers full psychotic potential character meant amazing story calls mean build second movie maybe one batman hopes high point nevertheless brilliant goddamn movie best joker ever played hands,positive
33,pool need money need dignity respect coz takes human dont money reminder good boy like politicians feel frustrated people lower class accept funding champions movie jokers life begin get,positive
34,hyped see movie loved trailer movie wanted watch cinema long timei watched bored astectics amazing music good story execution meh performence joker good performence people raving driving mad either seen many movies seen many movie bang average actually boring thinking leaving half way bored mindi regret watching overhyped confused right think good premise could much much moresigns great movie repeat viewing moving move whatsoever would watch againi thought maybe people getting paid write good review actually met people think best movie ever omgggthis movie bang average way overhyped phenoix performence good story execution bad feel never even touched higher spectrums performencei experienced seen worse life made feel hate word use snowflake please get social media live lifethere real world,negative
35,amazing story brilliant taking magnificent cinematography someone step safe game played superhero movies joker movie also boys movie gritty real insanely dark sometime quite disturbing people dont want accept whats shown movie terrible reality face everyday refused proper care normally people start compare movie one greatest like dark knight acting wise heath ledgers potrayal joker wouldnt say movie better otherwise stand tall amongst greatest like godfather taxi driver citizen kane dark knight coming inevitable comparison whos better joker heath joaquin answer phenomenal job joker character fortunate played two greatest actors definitely top contender oscars personally think would take away best actor cinematography original score upon time hollywood loses makeup hairstyling category would definitely joker,positive
36,spoiler content,neutral
37,spoiler content,neutral
38,seriously unbelievable dare say better heath ledger joaquin phoenix doesnt win oscar best actor joker doesnt win least best screenplay one biggest oscar snubs time,positive
39,breaking news killer clowns back time theyre pranksters mimicking pennywise scare sht people viral memes theyre incels threatening gun everyone chooses take date dour depressing demented movieif joker one featured nolans marvelously entertaining dark knight doubt skinny lonely druggedup psychos would rushing hail guy hero inspirationledgers joker brilliant manipulaitve consumed infectious sometimes charming confidence phoenixs joker dumb depressing insecure ledger makes things happen things happen phoenix joker controls events dark knight events spiral control jokerthere fun movie great action set pieces hint hope optimism two hour slog watching miserable man drive insane starts murdering people seemingly everyone goes insane theyve enoughchange name movie arthur eliminate references batman universe doubt youd think origin story joker know love maybe joker closest joker would resemble real worldwhich perhaps movie awful wants moviethere plenty good characterdriven films mentally disturbed individuals spiral control plenty good dark gritty super hero movies neither,negative
40,one best movies years oscar worthyjoaquin phoenix delivers one best performances ive ever scene,positive
41,trailers movie may seemed like potential action packed movie movie clearly came theaters intended progressive character study shouldnt go movie expecting intense action joker know past movie arthur fleck becomes jokeri seen many bad reviews boring slow movie believe utter perfection first part movie begin understand arthur person interactions everyone life good bad whole point character study evolution far away one greatest evolutions character ever seen moviejoaquin phoenixs performance far best acting seen movie possibly last decades see challenged person challenged society completely breaks time joaquin isnt acting evolving throughout movie anyone thinks doesnt put oscar winning performance theyre effing mind yes movie slow start couldnt jump joker chaos need know came begin withthe whole compilation movie amazing complete oscar deserving performance joaquin choreography cinematography score everything perfect harmony may lot controversy surrounding movie team put together perfect movie pity cant appreciate tears sweat emotion went making moviei always one sided movie preferences marvel dc feel like marvel sooo much better overall movies dc puts trash joker far away favorite comic movie even though takes completely different spin comic movies appreciate evolution appreciate movie action movie really rips tears emotions one movie adding wild suspenseful kick comic book movie done,positive
42,simply put movie masterpiece think need see way movies way movies mean movies arent superhero movies funny thing people call movie masterpiece cant qualify claim way try ask next person talk joker masterpiece youre lucky might get response goes deep saying something vague writing directing amazing ask explain guarantee wont able movie one note beginning end joker crazy start crazy end zero nuance subtlety character development simply goes crazy crazier cynical lazy dull retread real masterpieces like taxi driver king comedy shamelessly steals poorly might add beware anyone calls masterpiece zero understanding cinema,negative
43,recurring themes many star reviews tell lot movie audience cant get movie review without tossing one claims movie much better smarter superhero movie even basing entire review around premise hate break kid youre nowhere near intelligent grown think comic publisher better bs left behind grade school playground absolutely relevance quality movie opinion movie considered highly suspect youre groupi got ta say movie also idea perfect film ever made really need get look get live safe little box watch superhero movies mainstream blockbusters understand exposure themes like first time would seem new exciting think agree probably best dc comics related movie last decade though thats high bar meet course joaquin phoenix talented actor stop take step back look thingjoker indeed present theme importance society neglect demonizing mentally ill degree sometimes creates monsters everyone around seen coming mile away hadnt busy looking away avoid feeling uncomfortable unfortunately reminding us fact situation still exists movie really say dances around important subjects like hey kids class inequality never offers actual insight usually busy making forced batman references dropping cringey little edgy moments like dont smile sign scene seem designed solely something hot topic print new tshirt every single plot twist telegraphed far advance lot us seen exact twists many times wasnt impressedperhaps actual standalone movie instead shackled completely unnecessary ties batman universe could done something interesting themes dont get wrong dont problem superhero movies feels gratuitous someone came idea pitched executive told sounds great make batman movie somehow im sorry im movie trying tell halfhearted yet deadserious speech mental illness modern society simultaneously constantly reminding technically superhero movie,positive
44,yes joaquins performance good cinematography pretty otherwise get hype movienot long time felt like would better leaving cinema staying getting moneys worthfor something supposed gritty real lot convenient scenes help push plot alongvery disappointed,negative
45,incredible ride almost motionless throughout watching awe performance lifetime transition troubled man monster hounding score directly drove goosebumps cinematography made feel like flying gotham looking arthur masterful de niro gave nod jerry lewis ignore dc ignore batman work art right,positive
46,thought movie complete utter garbage dont understand people liked movie much character doesnt even stay true comics director flat said didnt made seem like part gothams fall little boy laughing problem hated,negative
47,spoiler content,neutral
48,expecting masterpiece oscar worthy film hype actually didnt enjoy watching movie message slow joker turned son schizophrenic went crazy slight amount bullying dont see anyone could relate character laughing lame acting way overdone im stunned rating right hell,negative
49,joker literally achievement cinematic history theres doubt people comparing endgame movies ways completely different endgame best genre talking joker say beautiful presentation storyline direction screenplay peak greatness heath ledger smiling earth,positive
50,movie masterpiece absolutely epitomizes dc movie dark emotional thought provoking action action action one best movies ive seen long timecritics definitely lost touch public ignored one favor watch itand remember good one another dont know someone else going,positive
51,joaquín phoenixs unconvincing laughing looking like beaten dog brutaly ennoyed minutes world mean bad bad hit back chaos anarchy whatever inspires bye clown killed bullies stupid excess brutality name yes director hangover dont want partir brutal boring,negative
52,dont understand high ratings went cinema high expectations discover movie slow anything almost finished first killing happened dreadful time wait something happen yes movie finished finally walked got cosmic joke joker trusting reviews leaving disappointed disbelief actually paid watching,negative
53,dc still give us compelling movie wasnt quite hyped mean origin story villain made director hangover movies could even expect reviews started drop still wasnt sure would like saw way better thought would wont call masterpiece definitely top dc films timesgood theres hardly anything bad joker joaquin phoenix great job bringing character life rather typical superherosupervillain origin story get see psychological drama horror thank god got love genre love films like infinity war days future past endgame raimis spiderman occasionally really good take break films kind category films like unbreakable basically movie spoilers ahead arthur tormented society mentally unstable loner loses mind constant torment hell breaks loose thats movie shows would quite difficult give really good story plot like since many movies kind plot awfully crappy ones included completely liked movie means screenplay direction worked feel arthur whenever movie asks want root arthur know mean incredibly terrible things happen see slowly transition joker completely turns joker worth round applause feel good well terrified actions joker whenever snaps crazy stuff happens without getting spoilers would say short many quotable lines make sense whatever joker psychopath says realistic sane person says obviously sick terrifying gruesome joker moments proper joker movie clear trailers theres batman spoilers batman references support movie couldve created mess might felt like shoehorned plotline plays proper support main story transition arthur jokermixed good thing movie psycho horror vibe couldve original like many others pointed similar taxi driver scorsese wasnt copy paste taxi driver parts make obvious movie inspired taxi driver necessarily bad thing movie elements homageish way looking well made couldve slightly original may feel bit slow people though worth timemy take controversy happen morons might watch film cause violence happen violent movie even though justified jokers actions doesnt show right speaking violence psychologically compelling horror less violent deadpool feels violent serious movie glorification siding psychopath complete total nonsenseconclusion must watch dont need follow dc movies understand expect typical superhero action film cgi battles spectacle wrong expectations might ruin experience else found better dark knight rises tdkr one favorites genre nolan movie replaced another movie list may consider great one last thing people causing violence joker would equivalent good bad ugly inspiring three people gun duel goldratingscore grade,positive
54,im keeping short movie sucksyes know theres need build character crap think important good moviesame goes get joker troubled man get frustration dont need hours movie telling crap againgive guy oscar performance throw movie trash right,negative
55,reviews making film far better actually dont get wrong technically extremely well done phoenixs performance really quite extraordinary definitely looking oscar nomination despite excellent writing acting directionthe film kinda boringit moments sure disturbing elements butif watch would looked many times film lacks isexcitementthe final act excellent felt like took forever get,neutral
56,spoiler content,neutral
57,movie excellent amazing beginning joaquins personality seen evolves joker end joker difficult character think joaquin,positive
58,spoiler content,neutral
59,never left review title good bad piece garbage registered imdb account vent opinion want hours life back,negative
60,wow say brilliant phoenix act performance shortcutmovie year,positive
61,dont waste hours life movie baddest ive seen long time crappy writing good storylineit boring went pay counter ask money back hours torturethey cant people like people reason went youre joke,negative
62,film mental illness specifically mental illness called creative diarrhoea film band hollywoods insipid producers writers directors riffraff suffering ailment got together group therapy session therapist hollywood mogul let gathered refuse flogged hundred million dollarsseriously though sooo much wrong movie wont even start knew joker sob story hope artistic success went went see anyway ill start pointing reviewers observation even joker hes suave hes witty lethal gimmicks morbid jokes anarchism isnt criminal mastermind hes loser goes school shooter streaksecondly said earlier film mental illness mockery cashing increasing awareness mental health one concept psychosis mental health problems judiciously explored movie illness causes sufferer laugh inappropriate situations seriously youre getting downtrodden loner subjected beatings injustices designed spark indignation viewer going murder spreewith regards muchpraised acting mystery anyone could come judgement phoenixs theatrical achievement based asinine script cant devote iota attention positive reviews im fairly confident largescale review rigging going onthe plot one dimensional juvenile dialogue engaging monotone nursery rhyme character development shallow goofs left right centre like revolvers zero recoil bullets arthur keep dancing need see arthur fondling emaciated much smoking watched many closeups cigarettes burn makes wonder film sponsored tobacco industrythe two positives movie firstly final talk show scene littered though imperfections like rest movie sitting little less slouched seat also interesting theories presented tying joker batmanwith bar set high dark knight director seeking artistic acclaim go near joker many years come maybe ever hand joker character rendered boon hollywood opportunists second time weve seen character butchered low effort high budget money maker one forgotten quick dont know long joker recovers,negative
63,creative actor joaquin creativity embodied role joker film deserves,positive
64,please go watch movie first time ive ever wrote review app ive using read reviews years thats good film dark grimy disturbing exactly origin film joker doubt win multiple oscars favor go see,positive
65,ending matters movie movie kind ending would leave many speechless indeed masterpiece,positive
66,spoiler content,neutral
67,joker basically lite edition postmodern version fight club scorsese films lifts interesting see easily words like masterpiece groundbreaking used one joke movie successfully pulls whole lot selfseriousness posturing essentially hollow pretends say lot ends saying little nothing character society hes part ofit also joker name little supervillain im different interpretation even origin story joker movie fails recognise capture spirit even protojoker doesnt quite justice think dozen suitable titles eg arthur untalented mr fleck smoker poser etc infact hes akin less dangerous also mentally unstable villain like ratcatcher calendar man though clown theme even close embodying jokers extreme form nihilism comicbook accurate portrayal would irrelevant genuinely good movie far masterpiece doesnt quite manage even fails inaccurate portrayal jokers spirit essence also film person going edgethe weakest aspect movie poor average direction movie lacks subtlety nuance hoping unfolds much character development things happening arthur good example poor writing direction trumplike onedimensional thomas wayne character first became obvious scene people happened know entire lyrics clown song movie otherwise tries hard realistic felt unnecessary took experience felt contrived predictable takes many obvious liberties plot conveniences move story forward unnatural unrefined way ultimately felt like tried disguise poor writing direction dark gritty atmosphere instead elements complementing otherthe reason watch movie phoenixs performance groundbreaking good enough earn awards nomination two wouldnt put league heath ledgers portrayal two different roles characters ledger made joker seem effortless one really see strain work phoenix puts put simply ledger made seem natural didnt look like acting phoenix really know even extent may seem like overacting times perhaps owing physical nature version whoever character supposed thats necessarily criticismoverall average film best pretends lot dont see one ageing well remembered decades later way fight club scorsese movies inspired cbms like dark knight logan even tim burtons batman remembered today,negative
68,absolute disappointment believed hype like fool person actually saw told good movie stupid reviews cringe nothing actually happening except phoenix smoking dancing around action substance humor everything cringe overacted suppose like independent movies tiff cannes something actually wan na entertained see joker dc best description millennial joker society mean nobody gives anything cries complains get attention none given starts killing,negative
69,im making sure give movie star definitely thats liejoker amazing movie far great boring sideit lacks plot twist focus much character development many times someone needs get punched face go crazyhe suffers gets fired mental illness nobody loves hes sad cries laughs laughs kills people thats thats movie,negative
70,agree joaquins performance great well done easy part pull however good part film movie dark expected much slow dialog putting sleep parts movie predictable though couple literally two surprises good didnt weigh slow moving poorly laid story say skip one wait hit subscription services id ask money back stay till end,negative
71,spoiler content,neutral
72,writerdirector todd phillipss new movie joker appeals multiple levels primarily offering engaging story strongly rooted believable reality related audiences mainly opposing protagonists prevalent dark depressive moods using often optimistic soundtrack sound editing shallow nonetheless rich visuals angles framing theatricality augmented expressive costumes props sets impressively via great principal performances acting choices made joaquin phoenix lead title character proper fictional name arthur fleck whose sudden uncontrollable seemingly inappropriate laughter justified medical condition easily counterpoints painful need outcry gotham read city masses hurt deprived injustices quotidian existence well robert de niro quintessential supporting role tvcomedy show host murray franklin worthy endoftheyear acting award considerations setting believable precourse future adventures realistic dc comics character batman superhero extraordinary capabilities rather resulting physical fitness skills combined high technology employed appears young boy whose later adult activities could understood largely driven happened parents final scene movie event directly inspired actions joker henceforth future main nemeses,positive
73,yesterday day understand touched history movie drag deepest thoughts darkest secrets suffering masterpiece grind like meat grinder watch silence open mouth like whole cinema dont like comics movie marvel pompous absurd insipid opinion art attraction dc movies dc made history made art made drama understandable watch example avengers league justice eating mcdonalds hamburger watch joker eating stake luxurious restaurant world,positive
74,joker without doubt new favorite dc film dark gritty enough psychological twists keeps guessing beginning end nothing taken face value film forces think beginning end dont listen critics one worth watching multiple times theaters,positive
75,best acting story oscar winning movie,positive
76,people hyped pretentious makes feel like enlightened ones havent heard good review movie smart intelligent people whose main movie list consists actions comedies call piece arta wife friend even called hadnt liked movie lemmings shes one countryside dreams expensive brands actually made laugh ass idea movie made forthe plot main weakness phoenix overplays feels uncomfortable watch camera work feels cheap overall boredom movie makes start noticing imperfections would give many pretentious dummies gave points ill even difference,negative
77,somehow darkest serious movies get highest ratings people say movie thrilling joaquin phoenix deserves oscar end day wasnt entertainment many evil moments dark scenes whats good thatthis movie almost like instructions psycho flipped usual idea boundaries good evil audience feel sorry bad guy people seem think good thing badthe point movie entertain audiences movie made feel depressed miserable ill watch movie hero clear villain clear actually entertained fundemental successful formula film,negative
78,reality far fiction whats made movie oscar winner actor made new joker rivalry heath ledger joker better joker people opinion piece art,positive
79,joker masterpiece flawless board boasts mirely decent origin albeit heavyhanded sin choppy flow poor directing decisions moments part brilliant part wildly overacting phoenixs part heavy handed nature mental illness written well highlghts many different illnesses none feeling whole handled much sense understanding sprinkle lighthearted moments remind hey hes still funny times strained mental illness angle difficult laugh moments without bit introspection youre laughing real danger movie poses another hollywood blunder mental health handling way harm goodthere great existential pandering ss saying deep feels superhero movie character study regardless anyone wants categorize ill consider generous,negative
80,performance joaquin excellent story simply dont anything joker mentaly ill man struggling chaotic enviroment overwhelmed snaps would much better film title arthur clown fact forced related batman universe feld didnt work,neutral
81,looking forward film given hype brilliant acting etc yet let downthe film real storyline past present although acting brilliant real trouble understanding plot oneone star actors,negative
82,sat slowwwwww movie would gladly left half way boring movie last minutes overhyped usualthe violence must cut version seen think seen gore disney movie,negative
83,batman fan particularly fond joaquin phoenix movie truly exceptional started slow built viscerally satisfying crescendo never thought would rooting joker found throughout movie jokers pain palpable filling oscar pool card right nowps movie dark violent decidedly super hero movie leave kids home,positive
84,wow honestly got ta tell one best movies ive seen years cinematography thumping sadden soundtrack way omg performance joaquin phoenix dark evolving twisting wow feel deep bones emotions portraying jokerjust alone watching hearing jokers laugh twisty evil could hear sadness coming mouth could hear hours practice laugh alone method acting perfectly point along subtle gestures dance done perfectly joker movie psychological twisting made believed immersed movie totally shocked overwhelmed everything even left cinema mindblownedwhen watching cinema half cinema cheered applauded certain scenes almost entire patron stayed last credit u looked closely even joker costume evolving changing time time based journey experienced looked final true form looked absolutely stunning excitement dialogues told joker heartcrushing made felt bad joker first time sided evil character maybe hero movie knows honestly u watch one best performance u watching long time movies like deserves watched big screen go find best cinema town enjoy wild ride emotions fear anger satisfying,positive
85,legendary character legendary performance actor able move heath ledger performance movie totally worth movie deserves oscar showcased never seen origin joker love,positive
86,movie poorly done tells story dark movie showing problem mental illness,negative
87,boring really cant understand hype,negative
88,joaquin phoenix good directing pretty good writing absolutely awful movie trying hard relevant message throws jumbled mess quasicommentary hoping something stick completely unclear exactly writerdirector todd phillips actually trying say anything joker hero resistance incel go crazy hes mentally ill people mean rich people poor people horrible joker exactly class commentary also confusing robert de niro movie clearly ripping taxi driver many ways also little mr robot thrown theres also subplot neighbor incredibly stupid pointless actually bearing story whatsoever movie also listless boring throughout much movie slowpaced without boring interesting things happening driving plot towards conclusion thing driving story movie knowing hes going become joker points anything actually happens movie movie also spends like minutes making fun little person clear reason also people saying movie good job saying nicer people especially theyre lonely mental health issues firstly shouldnt need movie like nice people secondly make movie like lonelymentally ill person doesnt become murderer since mentally ill people likely victims perpetrators crime thirdly want movie showing need empathize criminals movies people color victims mass incarceration locked nonviolent charges instead movie white male becoming mass murderer movie terrible,negative
89,didnt really know much movie hadnt seen trailers anything decided give go stoned mate steve actually got tickets different movie couldnt find screen ended screen showing joker wasnt til minutes realised movie good couldnt understand lot certain actors saying really mumbled low quality story confusing hard keep track whos theres lot scenes literally nothing happens except people talking walking corridors whispered mate steve hour see thought bad fallen asleepthe good thing movie acting geezer plays joker good also funny scenes near end movie overly long complex enough action poor directing,negative
90,acting cinematography music screenplay costumes gotham etc everything oscar worthy performanceby joaquin phoenixamazing directing todd phillips amazing cinematography lawrence sher,positive
91,spoiler content,neutral
92,underwhelmed say friendly surprised fact hollywood lost magic looong time ago imho bo dy gives damn darth vaders childhood jokers relationship mother want centuries proper boogeyman overpaid lalalandschmocks wont jump stupid prequelexplainsitalltrain please give us least solid filmmaking joker mess story finesse buildup surprises ideas load laymanpsychology make even olds roll eyes cacophony less unrelated scenes cheesy taxidrivermoments without impact massive overacting phoenix subtle sinister joker moments except two second elevatorscene know love trailer rating joke heath ledger miss,negative
93,say satisfying would somewhat misleading joaquin phoenix makes feel uncomfortable almost entire time couldnt help thinking christian bale machinist robert de niro taxi driver comparisons clearly high praise actingthe film slowly builds momentum buildsits really builds looking traditional comic book action may feel moves bit slow pace allows transformation feel superficial walk theater wont know exactly feel youll surely want know everyone else feels,neutral
94,wow movie admit first heard joaquin phoenix going joker surprised wasnt sure going pull hoping wasnt going another cheesy rendition full fluff unrealistic explanations joker came one adult son wouldnt keep nudging wake pleasantly surprised well todd phillips version played joaquins acting superb could feel anguish character going right point lost mind excellent well acted movie almost forget derived dc comic,positive
95,enjoyed film felt pretty short end appeared screen couldnt help think thats itjoaquin phoenix fantastic new take joker mesmerizing see facial expressions keep changing joker laugh unique sinister full jokers madnesshowever despite minor plot twists interesting bits film already shown trailers dont expect much action like dark knight trilogy despite much hyped gun violence less guns movie batman flickthis bad film great one either watch joaquins performance,neutral
96,dark depressing unsettling film haunting score incredible acting directing screenplay joaquin killed stars mental health important guys,positive
97,didnt get hype movie entertaining violent movies wasnt nearly good expected doubt acting good apart theres story dark depressing movie guy whos dealing bipolar disorder killing everyone around including mother kind negative message passing society,negative
98,story really unconvincing nobody really cares much random dude ineloquent uninspired joker hype portraying movie painful cruel cringe see rated better one flew cuckoos nest shows way better cruelty saddens,negative
99,joker gift audiences felt privileged person sit movie theater watching joaquin phoenix todd phillips gave world cinema rear pearl dont know people complaining really something else,positive
100,like movies story hours blah blah nonsense far boring movie joaquin phoenix overjusts wants look like depp course understand story isolation psychological side makes film special deserves score jokers laughs shot people dark side much better worked dark knight rises dark register gore depressing strange film marketed united states see prone ideology marxism joker character development characters boring stereotypes contain single story cliffhangers predictable conclude see joker fighting batman,negative
